System_ID,Name,Website_Breadcrumb,Inode_Breadcrumb,Image,Website_name,Brand,Color
5a3d474bd9877c30c8c97405,"""Crocodile Men Blue & White Slim Fit Printed Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/crocodile/crocodile-men-blue--white-slim-fit-printed-casual-shirt/2335304/buy"", ""http://developer.myntra.com/style/2335304""]",www.myntra.com,crocodile,blue
57a4f06ed1de7f03cde05fba,"""Metersbonwe White Printed T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"[""http://www.myntra.com/tshirts/metersbonwe/metersbonwe-white-printed-t-shirt/1439317/buy"", ""http://developer.myntra.com/style/1439317""]",www.myntra.com,metersbonwe,white
5a3dd782d9877c30c8c9a06e,"""FOREVER 21 Women Black Sheer Top""",Apparel > Topwear > Tops,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tops,"[""http://www.myntra.com/tops/forever-21/forever-21-women-black-sheer-top/2287114/buy"", ""http://developer.myntra.com/style/2287114""]",www.myntra.com,forever21,black
59eb127a042cad64e93c9ba2,"""Pannkh Women Maroon Striped Pullover""",Apparel > Topwear > Sweaters,Home > Fashion > Apparel > Topwear > Sweaters,"[""http://www.myntra.com/sweaters/pannkh/pannkh-women-maroon-striped-pullover/2177378/buy"", ""http://developer.myntra.com/style/2177378""]",www.myntra.com,pannkh,maroon
5a4f5b8e1fbbad31fc613dce,"""OVS Men Navy Striped Pullover""",Apparel > Topwear > Sweaters,Home > Fashion > Apparel > Topwear > Sweaters,"[""http://www.myntra.com/sweaters/ovs/ovs-men-navy-striped-pullover/2323577/buy"", ""http://developer.myntra.com/style/2323577""]",www.myntra.com,ovs,blue
590d017b7c496832e0197d13,"""Taraash Pink Sterling Silver CZ Stone-Studded Jewellery Set""",Accessories > Jewellery > Jewellery Set,Home > Fashion > Fashion Accessories > Jewellery > Jewellery Set,"[""http://www.myntra.com/jewellery-set/taraash/taraash-pink-sterling-silver-cz-stone-studded-jewellery-set/1814114/buy"", ""http://developer.myntra.com/style/1814114""]",www.myntra.com,taraash,pink
58094956400070ac0011bc76,"""FIFTY TWO Men Blue Sweater""",Apparel > Topwear > Sweaters,Home > Fashion > Apparel > Topwear > Sweaters,"[""http://www.myntra.com/sweaters/fifty-two/fifty-two-men-blue-sweater/1538569/buy"", ""http://developer.myntra.com/style/1538569""]",www.myntra.com,fifty two,blue
598a73811876e95fa345955a,"""Color Cocktail Women Black & White Floral Print A-Line Dress""",Apparel > Dress > Dresses,Home > Fashion > Apparel > Dress > Dresses,"[""http://www.myntra.com/dresses/color-cocktail/color-cocktail-women-black--white-floral-print-a-line-dress/2026336/buy"", ""http://developer.myntra.com/style/2026336""]",www.myntra.com,color cocktail,black
5aaa9a5b7a6e183a8cf30474,"""Zelocity Grey & Blue Self Design Non-Wired Non Padded Sports Bra""",Apparel > Innerwear > Bra,Home > Fashion > Lingerie > Bra,"[""http://www.myntra.com/bra/zelocity/zelocity-grey--blue-self-design-non-wired-non-padded-sports-bra/2712613/buy"", ""http://developer.myntra.com/style/2712613""]",www.myntra.com,zelocity,grey
5aebc710883b8bc0d4aaf0c1,"""Globus Men Blue Tie-Dyed Round Neck T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"[""http://www.myntra.com/tshirts/globus/globus-men-blue-tie-dyed-round-neck-t-shirt/2522770/buy"", ""http://developer.myntra.com/style/2522770""]",www.myntra.com,globus,blue
5adf2167c1a4545cfb11cad0,"""Skipper Purple Damask Window Curtain""",Home > Home Furnishing > Curtains and Sheers,Home > Home & Decor > Decor > Curtains & Accessories > Window Curtains,"[""http://www.myntra.com/curtains-and-sheers/skipper-furnishings/skipper-purple-damask-window-curtain/5333448/buy"", ""http://developer.myntra.com/style/5333448""]",www.myntra.com,skipper,violet
5a9d1a72f27691c68fcfed4e,"""Campana Girls White & Yellow Printed Basic Jumpsuit""",Apparel > Dress > Jumpsuit,Home > Fashion > Apparel > Dress > Rompers & Jumpsuits,"[""http://www.myntra.com/jumpsuit/campana/campana-girls-white--yellow-printed-basic-jumpsuit/2532357/buy"", ""http://developer.myntra.com/style/2532357""]",www.myntra.com,campana,white
